Year,Year ending,Police Region,Local Government Area,Victim Reports,"Rate per 100,000 population"
2018,June,4 Western, Horsham,912,"4,588.9"
2018,June,4 Western, Loddon,197,"2,622.1"
2018,June,4 Western, Macedon Ranges,858,"1,737.3"
2018,June,4 Western, Mildura,"2,607","4,695.9"
2018,June,4 Western, Moorabool,961,"2,813.6"
2018,June,4 Western, Mount Alexander,307,"1,573.2"
2018,June,4 Western, Moyne,269,"1,592.9"
2018,June,4 Western, Northern Grampians,372,"3,254.6"
2018,June,4 Western, Pyrenees,227,"3,087.2"
2018,June,4 Western, Queenscliffe,68,"2,280.3"
2018,June,4 Western, Southern Grampians,539,"3,340.8"
2018,June,4 Western, Surf Coast,604,"1,872.8"
2018,June,4 Western, Swan Hill,936,"4,508.7"
2018,June,4 Western, Warrnambool,"1,182","3,390.4"
2018,June,4 Western, West Wimmera,69,"1,786.6"
2018,June,4 Western, Yarriambiack,241,"3,619.7"
2018,June,4 Western,Total,"33,110","3,324.5"
2018,June,Justice Institutions and Immigration Facilities, Justice Institutions and Immigration Facilities,"1,209",
2018,June,Justice Institutions and Immigration Facilities,Total,"1,209",
2018,June,Unincorporated Vic, Unincorporated Vic,68,
2018,June,Unincorporated Vic,Total,68,
2017,June,1 North West Metro, Banyule,"4,574","3,542.6"
2017,June,1 North West Metro, Brimbank,"8,554","4,132.4"
2017,June,1 North West Metro, Darebin,"8,109","5,108.0"
2017,June,1 North West Metro, Hobsons Bay,"2,918","3,069.3"
2017,June,1 North West Metro, Hume,"9,456","4,393.3"
2017,June,1 North West Metro, Maribyrnong,"4,214","4,715.7"
2017,June,1 North West Metro, Melbourne,"13,266","8,336.0"
2017,June,1 North West Metro, Melton,"5,076","3,415.5"
2017,June,1 North West Metro, Moonee Valley,"4,712","3,757.2"
2017,June,1 North West Metro, Moreland,"7,838","4,428.9"
2017,June,1 North West Metro, Nillumbik,"1,392","2,154.2"
2017,June,1 North West Metro, Whittlesea,"7,674","3,557.9"
2017,June,1 North West Metro, Wyndham,"6,731","2,792.1"
2017,June,1 North West Metro, Yarra,"6,826","7,110.9"
2017,June,1 North West Metro,Total,"91,340","4,304.3"
2017,June,2 Eastern, Alpine,145,"1,147.3"
2017,June,2 Eastern, Bass Coast,"1,182","3,437.4"
2017,June,2 Eastern, Baw Baw,"1,421","2,804.1"
2017,June,2 Eastern, Benalla,566,"4,050.4"
2017,June,2 Eastern, Boroondara,"4,725","2,629.7"
2017,June,2 Eastern, East Gippsland,"1,539","3,335.8"
2017,June,2 Eastern, Greater Shepparton,"3,028","4,619.1"
2017,June,2 Eastern, Indigo,194,"1,187.8"
2017,June,2 Eastern, Knox,"5,103","3,153.4"
2017,June,2 Eastern, Latrobe,"5,362","7,158.1"
2017,June,2 Eastern, Manningham,"2,726","2,193.6"
2017,June,2 Eastern, Mansfield,289,"3,285.6"
2017,June,2 Eastern, Maroondah,"3,431","2,949.6"
